Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,bill_name,caption,filer_id,filer_name,function,session,leg_id,original_name,parsed_name
0,0,0,HB 490,Relating to the authority of the governing body of a taxing unit that adopts an exemption from ad valorem taxation of a percentage of the appraised value of an individual's residence homestead to set a limit on the dollar amount of the exemption to which an individual is entitled in a tax year.,-1,Eddie Rodriguez,author,84R,4270,Rep. Eddie Rodriguez,Eddie Rodriguez
1,1,1,HB 505,Relating to a prohibition of limitations on the number of dual credit courses or hours in which a public high school student may enroll.,-1,Eddie Rodriguez,author,84R,4270,Rep. Eddie Rodriguez,Eddie Rodriguez
2,2,2,HB 506,Relating to the issuance of tax-supported bonds by certain school districts and increasing the tax rate limitation on the issuance of those bonds.,-1,Eddie Rodriguez,author,84R,4270,Rep. Eddie Rodriguez,Eddie Rodriguez
3,3,3,HB 859,Relating to an exemption from the veterinary licensing law for certain persons who provide services to an animal shelter.,-1,Eddie Rodriguez,author,84R,4270,Rep. Eddie Rodriguez,Eddie Rodriguez
4,4,4,HB 860,Relating to employer retaliation against employees who seek recovery of unpaid wages and procedures in wage claim hearings conducted by the Texas Workforce Commission; providing administrative penalties.,-1,Eddie Rodriguez,author,84R,4270,Rep. Eddie Rodriguez,Eddie Rodriguez
5,5,5,HB 1049,Relating to the classification of licensed massage therapy programs as postsecondary education programs.,-1,Eddie Rodriguez,author,84R,4270,Rep. Eddie Rodriguez,Eddie Rodriguez
6,6,6,HB 1069,Relating to services for persons who are deaf or hard of hearing and certification requirements for interpreters for persons who are deaf or hard of hearing; providing an administrative penalty; requiring a fee and changing the rate of a fee; requiring an occupational certification.,-1,Eddie Rodriguez,author,84R,4270,Rep. Eddie Rodriguez,Eddie Rodriguez
7,7,7,HB 1075,Relating to the contents of a notice of appraised value sent to a property owner by the chief appraiser of an appraisal district.,-1,Eddie Rodriguez,author,84R,4270,Rep. Eddie Rodriguez,Eddie Rodriguez
8,8,8,HB 1281,"Relating to requiring reasonable workplace accommodations for and prohibiting discrimination against employees or applicants for employment with limitations related to pregnancy, childbirth, or a related medical condition.",-1,Eddie Rodriguez,author,84R,4270,Rep. Eddie Rodriguez,Eddie Rodriguez
9,9,9,HB 1292,Relating to renaming the Major Events trust fund to the Major Events Reimbursement Program.,-1,Eddie Rodriguez,author,84R,4270,Rep. Eddie Rodriguez,Eddie Rodriguez
10,10,10,HB 1485,Relating to the establishment of a grocery access investment fund program.,-1,Eddie Rodriguez,author,84R,4270,Rep. Eddie Rodriguez,Eddie Rodriguez
11,11,11,HB 1616,Relating to the establishment of a pilot program for the purchase of produce at farmers markets under certain nutritional assistance programs.,-1,Eddie Rodriguez,author,84R,4270,Rep. Eddie Rodriguez,Eddie Rodriguez
12,12,12,HB 1653,Relating to the ownership or operation of a motor vehicle dealership by certain manufacturers or distributors.,-1,Eddie Rodriguez,author,84R,4270,Rep. Eddie Rodriguez,Eddie Rodriguez
13,13,13,HB 1705,Relating to management services for the physical facilities of the Texas School for the Blind and Visually Impaired and the Texas School for the Deaf.,-1,Eddie Rodriguez,author,84R,4270,Rep. Eddie Rodriguez,Eddie Rodriguez
14,14,14,HB 1756,Relating to the board of trustees of and distribution of certain benefits by a retirement system for firefighters in certain municipalities.,-1,Eddie Rodriguez,author,84R,4270,Rep. Eddie Rodriguez,Eddie Rodriguez
15,15,15,HB 1891,Relating to Texas community schools.,-1,Eddie Rodriguez,author,84R,4270,Rep. Eddie Rodriguez,Eddie Rodriguez
16,16,16,HB 1892,Relating to the establishment of a Texas community school grant program.,-1,Eddie Rodriguez,author,84R,4270,Rep. Eddie Rodriguez,Eddie Rodriguez
17,17,17,HB 1900,Relating to the eligibility of land for appraisal for ad valorem tax purposes as qualified open-space land.,-1,Eddie Rodriguez,author,84R,4270,Rep. Eddie Rodriguez,Eddie Rodriguez
