bill_name,caption,filer_id,filer_name,function,session
SCR 34,Recognizing the citizens of West.,None,Lt. Gov. David Dewhurst,author,83R
SR 35,Honoring the victims and heroes of the Arizona shooting.,None,Lt. Gov. David Dewhurst,author,82R
SR 472,"Welcoming members of the 1st Battalion, 23rd Marine Regiment, 4th Marine Division home from their deployment in Iraq.",None,Lt. Gov. David Dewhurst,author,79R
SR 563,In memory of His Holiness Pope John Paul II.,None,Lt. Gov. David Dewhurst,author,79R
SR 25,Commending Don and Latimer Bowen for their many years of exceptional service to the citizens of Texas.,None,Lt. Gov. David Dewhurst,author,724
SR 38,Commending Rae Juan Markunas for her superb contributions to the educational system of Texas.,None,Lt. Gov. David Dewhurst,author,724
SR 39,Commending Johnny and Alice Moore on the occasion of their 44th wedding anniversary.,None,Lt. Gov. David Dewhurst,author,724
SCR 11,Encouraging the attorney general of Texas to settle the case of LULAC v. Mattox in as timely a manner as possible.,None,Lt. Gov. David Dewhurst,coauthor,724
SR 59,Congratulating the Miles High School Agricultural Mechanics team for winning the National Championship for 1991.,None,Lt. Gov. David Dewhurst,author,723
SB 1,Relating to apportionment of the state into senatorial districts.,None,Lt. Gov. David Dewhurst,coauthor,723
SB 12,Relating to the election of justices of the supreme court and judges of the court of criminal appeals from single-member districts.,None,Lt. Gov. David Dewhurst,coauthor,723
SB 18,Relating to eligibility requirements for visiting judges.,None,Lt. Gov. David Dewhurst,author,722
SB 48,Relating to the confidentiality of certain orders of the credit union department and copies of notices and correspondence relating to those orders.,None,Lt. Gov. David Dewhurst,author,722
SB 49,Relating to notification of certain facilities in which a child resides of the filing or modification of a suit affecting the parent-child relationship in which possession of or access to the child is sought.,None,Lt. Gov. David Dewhurst,author,722
SB 64,Relating to the use of natural gas to generate electricity.,None,Lt. Gov. David Dewhurst,author,722
SCR 14,Congratulating Dr. Bobby E. Parker for his 43 years of excellence in the field of education.,None,Lt. Gov. David Dewhurst,author,722
SR 11,Recognizing Katelyn Rose Halpern on the occasion of her fourth birthday.,None,Lt. Gov. David Dewhurst,author,722
SR 12,Recognizing Joshua Nathaniel Halpern on the occasion of his second birthday.,None,Lt. Gov. David Dewhurst,author,722
SR 42,Paying tribute to Dr. Bobby E. Parker who has served with great distinction as President and Chief Executive Officer of the University of Mary Hardin-Baylor since 1971 and congratulating him on being named Chancellor of the university.,None,Lt. Gov. David Dewhurst,author,722
SR 43,Commending Dr. Bobby Jack Estes of Abilene for his magnificent contributions to the medical profession and to the people of Texas.,None,Lt. Gov. David Dewhurst,author,722
SR 44,"Honoring Mr. John Walter Holtermann, Sr., of San Marcos on the occasion of his 80th birthday.",None,Lt. Gov. David Dewhurst,author,722
SR 45,Congratulating Mr. and Mrs. Doyle Condra on the occasion of their 50th wedding anniversary.,None,Lt. Gov. David Dewhurst,author,722
SR 46,Congratulating the Abilene Young Women's Christian Association on its splendid accomplishments over the past 72 years.,None,Lt. Gov. David Dewhurst,author,722
