bill_name,caption,filer_id,filer_name,function,session,leg_id,original_name,parsed_name
HB 136,Relating to availability of professional liability insurance under a self-insurance trust for health care.,67904,Jonathan Stickland,author,84R,2765,Rep. Jonathan Stickland,Jonathan Stickland
HB 137,Relating to grants of appropriated money to certain peace officer organizations.,67904,Jonathan Stickland,author,84R,2765,Rep. Jonathan Stickland,Jonathan Stickland
HB 139,Relating to the posting of certain notices for political subdivisions on the comptroller's Internet website.,67904,Jonathan Stickland,author,84R,2765,Rep. Jonathan Stickland,Jonathan Stickland
HB 142,Relating to the authority of the governing body of a local authority to impose a civil penalty for certain violations recorded by an automated traffic control system or a photographic traffic signal enforcement system.,67904,Jonathan Stickland,author,84R,2765,Rep. Jonathan Stickland,Jonathan Stickland
HB 172,"Relating to municipal regulation of electric stun guns, knives, and personal defense sprays.",67904,Jonathan Stickland,author,84R,2765,Rep. Jonathan Stickland,Jonathan Stickland
HB 195,"Relating to the carrying of handguns; providing for the open carrying of handguns; removing the requirement that a person who may lawfully possess handguns obtain a Concealed Handgun License in order to carry a handgun lawfully in the state of Texas, and conforming changes.",67904,Jonathan Stickland,author,84R,2765,Rep. Jonathan Stickland,Jonathan Stickland
HB 209,Relating to the determination of resident status of students by public institutions of higher education.,67904,Jonathan Stickland,author,84R,2765,Rep. Jonathan Stickland,Jonathan Stickland
HB 983,Relating to the repeal of the requirement that counties and municipalities offer to remove graffiti from private property free of charge before requiring the property owner to remove the graffiti.,67904,Jonathan Stickland,author,84R,2765,Rep. Jonathan Stickland,Jonathan Stickland
HB 1023,Relating to public school class size limits.,67904,Jonathan Stickland,author,84R,2765,Rep. Jonathan Stickland,Jonathan Stickland
HB 2799,Relating to home-school education for foster children.,67904,Jonathan Stickland,author,84R,2765,Rep. Jonathan Stickland,Jonathan Stickland
HB 3909,Relating to the execution of an arrest or search warrant.,67904,Jonathan Stickland,author,84R,2765,Rep. Jonathan Stickland,Jonathan Stickland
HB 3916,Relating to water and electric utility services provided to certain federal agencies.,67904,Jonathan Stickland,author,84R,2765,Rep. Jonathan Stickland,Jonathan Stickland
HB 3948,Relating to the review of the economic impact of the immigrant investor visa program.,67904,Jonathan Stickland,author,84R,2765,Rep. Jonathan Stickland,Jonathan Stickland
HJR 113,Proposing a constitutional amendment protecting private schools from state and local regulation.,67904,Jonathan Stickland,author,84R,2765,Rep. Jonathan Stickland,Jonathan Stickland
HB 232,Relating to the promotion of breast-feeding and the prohibition against interference with or restriction of the right to breast-feed; creating a civil action.,67904,Jonathan Stickland,author,84R,2765,Rep. Jonathan Stickland,Jonathan Stickland
HB 428,Relating to allowing a person who will be 18 years of age on the date of the general election for state and county officers to vote in the preceding primary elections.,67904,Jonathan Stickland,author,84R,2765,Rep. Jonathan Stickland,Jonathan Stickland
HB 549,Relating to certain duties of the Commission on Jail Standards regarding visitation periods for county jail prisoners.,67904,Jonathan Stickland,author,84R,2765,Rep. Jonathan Stickland,Jonathan Stickland
HB 1140,Relating to the confinement of pregnant prisoners in county jails.,67904,Jonathan Stickland,author,84R,2765,Rep. Jonathan Stickland,Jonathan Stickland
HB 1150,Relating to the sale of fireworks on and before certain holidays; affecting a provision subject to a criminal penalty.,67904,Jonathan Stickland,author,84R,2765,Rep. Jonathan Stickland,Jonathan Stickland
HJR 50,Proposing a constitutional amendment authorizing certain persons under the age of 18 to vote in a primary election.,67904,Jonathan Stickland,author,84R,2765,Rep. Jonathan Stickland,Jonathan Stickland
HB 21,"Relating to authorizing patients with certain terminal illnesses to access certain investigational drugs, biological products, and devices that are in clinical trials.",67904,Jonathan Stickland,coauthor,84R,2765,Rep. Jonathan Stickland,Jonathan Stickland
HB 40,Relating to the exclusive jurisdiction of this state to regulate oil and gas operations in this state and the express preemption of local regulation of those operations.,67904,Jonathan Stickland,coauthor,84R,2765,Rep. Jonathan Stickland,Jonathan Stickland
HB 82,"Relating to the allocation of the proceeds from taxes imposed on the sale, storage, or use of sporting goods.",67904,Jonathan Stickland,coauthor,84R,2765,Rep. Jonathan Stickland,Jonathan Stickland
HB 133,Relating to the repeal of the additional ad valorem taxes imposed as a result of certain changes in the use of open-space land appraised as agricultural land.,67904,Jonathan Stickland,coauthor,84R,2765,Rep. Jonathan Stickland,Jonathan Stickland
HB 134,Relating to certain information included with ballot propositions for elections to authorize state and local general obligation bonds.,67904,Jonathan Stickland,coauthor,84R,2765,Rep. Jonathan Stickland,Jonathan Stickland
HB 177,"Relating to the research, collection, and use of adult stem cells.",67904,Jonathan Stickland,coauthor,84R,2765,Rep. Jonathan Stickland,Jonathan Stickland
HB 183,"Relating to requiring state agencies to participate in the federal electronic verification of employment authorization program, or E-verify.",67904,Jonathan Stickland,coauthor,84R,2765,Rep. Jonathan Stickland,Jonathan Stickland
HB 283,Relating to the requirement that certain governmental bodies make audio and video recordings of open meetings available on the Internet.,67904,Jonathan Stickland,coauthor,84R,2765,Rep. Jonathan Stickland,Jonathan Stickland
HB 507,Relating to a civil action to collect a civil penalty for possession of certain small amounts of marihuana and an exception to prosecution for possession of associated drug paraphernalia.,67904,Jonathan Stickland,coauthor,84R,2765,Rep. Jonathan Stickland,Jonathan Stickland
HB 562,"Relating to the application of foreign laws and foreign forum selection in a proceeding involving marriage, a suit for dissolution of a marriage, or a suit affecting the parent-child relationship in this state.",67904,Jonathan Stickland,coauthor,84R,2765,Rep. Jonathan Stickland,Jonathan Stickland
HB 623,"Relating to the funding, issuing, and litigation of certain marriage licenses.",67904,Jonathan Stickland,coauthor,84R,2765,Rep. Jonathan Stickland,Jonathan Stickland
HB 646,Relating to regulation of vapor products and cigarettes; creating offenses; authorizing fees.,67904,Jonathan Stickland,coauthor,84R,2765,Rep. Jonathan Stickland,Jonathan Stickland
HB 871,Relating to fingerprints collected by the Texas Department of Public Safety from an applicant for a driver's license or personal identification certificate and used for the department's image verification system.,67904,Jonathan Stickland,coauthor,84R,2765,Rep. Jonathan Stickland,Jonathan Stickland
HB 1044,Relating to the designation of a segment of Farm-to-Market Road 423 in Denton County as the U.S. Army Sergeant Enrique Mondragon Memorial Highway.,67904,Jonathan Stickland,coauthor,84R,2765,Rep. Jonathan Stickland,Jonathan Stickland
HB 1168,"Relating to creating a defense to prosecution for the offense of resisting arrest, search, or transportation or the offenses of escape or permitting or facilitating escape.",67904,Jonathan Stickland,coauthor,84R,2765,Rep. Jonathan Stickland,Jonathan Stickland
HB 1196,Relating to a requirement that a student's postsecondary transcript include the average or median grade awarded in each class.,67904,Jonathan Stickland,coauthor,84R,2765,Rep. Jonathan Stickland,Jonathan Stickland
HB 1199,Relating to deceptive representations or other conduct concerning certain synthetic substances as a violation of the Deceptive Trade Practices-Consumer Protection Act.,67904,Jonathan Stickland,coauthor,84R,2765,Rep. Jonathan Stickland,Jonathan Stickland
HB 1200,"Relating to civil liability of a person who produces, distributes, sells, or provides or aids in the production, distribution, sale, or provision of certain synthetic substances to another person for damages caused by the other person.",67904,Jonathan Stickland,coauthor,84R,2765,Rep. Jonathan Stickland,Jonathan Stickland
HB 1237,Relating to the designation of a portion of U.S. Highway 290 in Hays and Travis Counties as the Lieutenant Clay Crabb Memorial Highway.,67904,Jonathan Stickland,coauthor,84R,2765,Rep. Jonathan Stickland,Jonathan Stickland
HB 1278,"Relating to financial assistance paid to the survivors of certain law enforcement officers, firefighters, and other public employees killed in the line of duty.",67904,Jonathan Stickland,coauthor,84R,2765,Rep. Jonathan Stickland,Jonathan Stickland
HB 1435,Relating to health plan and health benefit plan coverage for abortions.,67904,Jonathan Stickland,coauthor,84R,2765,Rep. Jonathan Stickland,Jonathan Stickland
HB 1492,Relating to consideration of asbestos or silica trust claims in certain actions asserting asbestos- or silica-related injuries.,67904,Jonathan Stickland,coauthor,84R,2765,Rep. Jonathan Stickland,Jonathan Stickland
HB 1581,Relating to the duty of a water supply system to provide certain information to consumers regarding fluoride in drinking water.,67904,Jonathan Stickland,coauthor,84R,2765,Rep. Jonathan Stickland,Jonathan Stickland
HB 1648,Relating to voluntary and informed consent to an abortion and prevention of coerced abortions; providing penalties; creating an offense.,67904,Jonathan Stickland,coauthor,84R,2765,Rep. Jonathan Stickland,Jonathan Stickland
HB 1690,"Relating to the investigation and prosecution of offenses against public administration, including ethics offenses.",67904,Jonathan Stickland,coauthor,84R,2765,Rep. Jonathan Stickland,Jonathan Stickland
HB 1745,Relating to the funding and issuing of marriage licenses and certifications and the recognition of certain marriages.,67904,Jonathan Stickland,coauthor,84R,2765,Rep. Jonathan Stickland,Jonathan Stickland
HB 2531,Relating to the regulation of abortion procedures; providing civil penalties; affecting the prosecution of a criminal offense.,67904,Jonathan Stickland,coauthor,84R,2765,Rep. Jonathan Stickland,Jonathan Stickland
HB 2949,"Relating to advance directives, including do-not-resuscitate orders; creating a criminal offense.",67904,Jonathan Stickland,coauthor,84R,2765,Rep. Jonathan Stickland,Jonathan Stickland
HB 3074,Relating to the provision of artificially administered nutrition and hydration and life-sustaining treatment.,67904,Jonathan Stickland,coauthor,84R,2765,Rep. Jonathan Stickland,Jonathan Stickland
HB 3171,Relating to repealing civil asset forfeiture provisions and establishing criminal asset forfeiture in this state.,67904,Jonathan Stickland,coauthor,84R,2765,Rep. Jonathan Stickland,Jonathan Stickland
HB 3414,Relating to advance directives and health care and treatment decisions.,67904,Jonathan Stickland,coauthor,84R,2765,Rep. Jonathan Stickland,Jonathan Stickland
HB 3567,Relating to the rights of certain religious organizations and individuals relating to a marriage that violates a sincerely held religious belief.,67904,Jonathan Stickland,coauthor,84R,2765,Rep. Jonathan Stickland,Jonathan Stickland
HB 4105,"Relating to the issuance, enforcement, and recognition of marriage licenses and declarations of informal marriage.",67904,Jonathan Stickland,coauthor,84R,2765,Rep. Jonathan Stickland,Jonathan Stickland
HCR 57,Urging the U.S. Congress to end the ban on crude oil exports.,67904,Jonathan Stickland,coauthor,84R,2765,Rep. Jonathan Stickland,Jonathan Stickland
HCR 63,Urging the U.S. Congress to expedite natural gas exports.,67904,Jonathan Stickland,coauthor,84R,2765,Rep. Jonathan Stickland,Jonathan Stickland
