bill_name,caption,filer_id,filer_name,function,session,leg_id,original_name,parsed_name,filer_name_closest
SB 144,Relating to the statute of limitations for a suit for personal injury arising from certain offenses constituting sexual abuse of a child.,20674,Jose Rodriguez,author,84R,1005,Sen. Jose R. Rodriguez,Jose Rodriguez,"Rodriguez, Alonzo T. (The Honorable)"
SB 119,Relating to requiring that members of the governing board of certain metropolitan rapid transit authorities be elected.,19797,Donna Campbell,author,84R,1010,Sen. Donna Campbell,Donna Campbell,"Campbell, Ben (Mr.)"
SB 9,Relating to limitations on the rate of growth of appropriations for certain categories of spending.,19368,Kelly Hancock,author,84R,1015,Sen. Kelly Hancock,Kelly Hancock,"Hancock, Glen C. (Mr.)"
SB 10,Relating to authorizing the issuance of revenue bonds to fund capital projects at public institutions of higher education.,51407,Ken Paxton,author,833,1020,Sen. Ken Paxton,Ken Paxton,"Paxton Jr., W. Kenneth (The Honorable)"
SB 8,Relating to the total revenue exemption for the franchise tax.,65996,Charles Schwertner,author,84R,1025,Sen. Charles Schwertner,Charles Schwertner,"Schwertner, Charles (The Honorable)"
SB 4,Relating to a franchise or insurance premium tax credit for contributions made to certain educational assistance organizations; adding provisions subject to a criminal penalty.,20851,Larry Taylor,author,84R,1030,Sen. Larry Taylor,Larry Taylor,"Taylor, M. A. (Mr.)"
SB 141,Relating to a voter educator program for high school seniors.,20079,Sylvia Garcia,author,84R,1035,Sen. Sylvia Garcia,Sylvia Garcia,"Garcia, David M. (Mr.)"
SB 186,Relating to the franchise tax and alternative revenue sources and spending priorities for this state; repealing the franchise tax.,51451,Brandon Creighton,author,84R,1040,Sen. Brandon Creighton,Brandon Creighton,"Creighton, C. Brandon (The Honorable)"
SB 13,"Relating to measures to support public school student academic achievement and high school, college, and career preparation, including measures to improve and support dual credit courses, the development of public outreach materials, and the development of postsecondary education and career counseling academies.",20516,Charles Perry,author,84R,1045,Sen. Charles Perry,Charles Perry,"Perry, Rick (The Honorable)"
SR 23,Recognizing the Immaculate Conception Cathedral in Brownsville on the occasion of its sesquicentennial celebration.,19725,Kip Averitt,author,811,1060,Sen. Kip Averitt,Kip Averitt,"Averitt, Kip (Mr.)"
SR 96,Congratulating the 2005-2006 cheerleading squad of Victoria Memorial High School in Victoria for winning a national championship.,19704,Kenneth Armbrister,author,793,1065,Sen. Kenneth Armbrister,Kenneth Armbrister,"Armbrister, Kenneth L. (Mr.)"
SB 17,Relating to increasing the minimum amount of the local option residence homestead exemption from ad valorem taxation by a taxing unit.,18886,Gonzalo Barrientos,author,793,1070,Sen. Gonzalo Barrientos,Gonzalo Barrientos,"Barrientos, Gonzalo (Mr.)"
SB 4,Relating to appropriations.,19751,Teel Bivins,author,783,1075,Sen. Teel Bivins,Teel Bivins,"Bivins (DECEASED), Miles T. (Mr.)"
SB 3,"Relating to the powers and duties of the Texas Department of Public Safety, military and law enforcement training, and the investigation, prosecution, punishment, and prevention of certain offenses; creating an offense and increasing a criminal penalty; authorizing fees.",19742,Brian Birdwell,author,84R,1080,Sen. Brian Birdwell,Brian Birdwell,"Birdwell, Jerry R. (Mr.)"
SB 188,Relating to a promise to appear in court for speeding offenses.,19838,Kim Brimer,author,80R,1100,Sen. Kim Brimer,Kim Brimer,"Brimer, Kenneth (Mr.)"
SB 474,Relating to the recovery of costs and fees in connection with certain eminent domain proceedings.,41354,Lois Kolkhorst,author,84R,1105,Sen. Lois W. Kolkhorst,Lois Kolkhorst,"Kolkhorst, Lois W. (The Honorable)"
SCR 5,Extending deepest sympathy to the family of Joseph Schwartz.,14876,Chet Brooks,author,724,1120,Sen. Chet Brooks,Chet Brooks,"Brooks, Chet (Mr.)"
