formTypeCd,reportInfoIdent,receivedDt,filerIdent,filerTypeCd,filerName,contributionInfoId,contributionDt,contributionAmount,contributionDescr,itemizeFlag,travelFlag,contributorPersentTypeCd,contributorNameOrganization,contributorNameLast,contributorNameFirst,contributorNameShort,contributorStreetCountyCd,contributorStreetCountryCd,contributorStreetPostalCode,contributorEmployer,contributorJobTitle,contributorPacFein,contributor_id
MPAC,180342,20010926.0,10883,MPAC,EL PASO CORPORATION PAC,100005511,20010917.0,3589.73,,Y,N,ENTITY,El Paso Corp./Coastal Emp. Action Fund,,,,,USA,20005,,,C00091702,39945
MPAC,414310,20090528.0,10883,MPAC,El Paso Corporation PAC,100006012,20090501.0,5887.0,,Y,N,ENTITY,El Paso Corporation Pac,,,,,,,,,,39950
MPAC,255701,20040730.0,10883,MPAC,EL PASO CORPORATION PAC,100006513,20040701.0,75.0,ADMINISTRATIVE EXPENSE,Y,N,ENTITY,El Paso Corporation,,,,,USA,20004,,,,39946
MPAC,402454,20090202.0,10883,MPAC,El Paso Corporation PAC,100006514,20090101.0,3747.0,,Y,N,ENTITY,El Paso Corporation Pac,,,,,USA,20002,,,,39950
MPAC,394551,20081229.0,10883,MPAC,El Paso Corporation PAC,100006515,20081201.0,3243.0,,Y,N,ENTITY,El Paso Corporation Pac,,,,,,,,,,39950
MPAC,250458,20040526.0,10883,MPAC,EL PASO CORPORATION PAC,100006516,20040501.0,75.0,ADMINISTRATIVE EXPENSE,Y,N,ENTITY,El Paso Corporation,,,,,USA,20004,,,,39946
MPAC,423136,20090803.0,10883,MPAC,El Paso Corporation PAC,100007017,20090701.0,2496.9,,Y,N,ENTITY,El Paso Corporation Pac,,,,,,,,,,39950
MPAC,384101,20080828.0,10883,MPAC,El Paso Corporation PAC,100007018,20080801.0,16622.0,,Y,N,ENTITY,El Paso Corporation,,,,,,,,,,39946
MPAC,363092,20080204.0,10883,MPAC,El Paso Corporation PAC,100007019,20080102.0,75.0,,Y,N,ENTITY,El Paso Corporation,,,,,USA,20002,,,,39946
MPAC,407737,20090330.0,10883,MPAC,El Paso Corporation PAC,100007020,20090301.0,4317.0,,Y,N,ENTITY,El Paso Corporation Pac,,,,,USA,19102,,,,39950
