district,filer_id,first_name,id,last_name,middle_name,offices,party,photo_url,sources
,20745,Steve,TXL000201,Ogden,,"[{'type': 'capitol', 'email': None, 'address': 'P.O. Box 12068, Capitol Station\nAustin, TX 78711', 'name': 'Capitol address', 'phone': '(512) 463-0105', 'fax': None}]",,http://www.legdir.legis.state.tx.us/FlashCardDocs/images/Senate/small/A1415.jpg,[{'url': 'http://www.legdir.legis.state.tx.us/MemberInfo.aspx?Chamber=S&Code=A1415'}]
,20582,Jim,TXL000330,Pitts,,"[{'type': 'capitol', 'email': None, 'address': 'P.O. Box 2910\nAustin, TX 78768', 'name': 'Capitol address', 'phone': '512-463-0516', 'fax': None}, {'type': 'district', 'email': None, 'address': '507 North Highway 77,, Suite 704-2\nWaxahachie, TX 75165', 'name': 'District address', 'phone': '972-938-9392', 'fax': None}]",,http://www.legdir.legis.state.tx.us/FlashCardDocs/images/House/small/A4185.jpg,[{'url': 'http://www.legdir.legis.state.tx.us/MemberInfo.aspx?Chamber=H&Code=A4185'}]
,21131,Robert,TXL000187,Duncan,,"[{'type': 'capitol', 'email': None, 'address': 'P.O. Box 12068, Capitol Station\nAustin, TX 78711', 'name': 'Capitol address', 'phone': '512-463-0128', 'fax': None}, {'type': 'district', 'email': None, 'address': '1500 Broadway, Suite 902\nLubbock, TX 79401', 'name': 'District address', 'phone': '806-762-1122', 'fax': None}]",,http://www.legdir.legis.state.tx.us/FlashCardDocs/images/Senate/small/A1165.jpg,[{'url': 'http://www.legdir.legis.state.tx.us/MemberInfo.aspx?Chamber=S&Code=A1165'}]
28,58497,John,TXL000363,Zerwas,,"[{'type': 'capitol', 'email': None, 'address': 'Room E2.308\nP.O. Box 2910\nAustin, TX 78768', 'name': 'Capitol Office', 'phone': '512-463-0657', 'fax': None}, {'type': 'district', 'email': None, 'address': '22310 Grand Corner Drive, Suite 110\nKaty, Texas 77494', 'name': 'District Office', 'phone': '512-463-0657', 'fax': None}]",Republican,http://www.house.state.tx.us/photos/members/5170.jpg,[{'url': 'http://www.house.state.tx.us/members/member-page/?district=28'}]
,19837,John,TXL000183,Carona,,"[{'type': 'capitol', 'email': None, 'address': 'P.O. Box 12068, Capitol Station\nAustin, TX 78711', 'name': 'Capitol address', 'phone': '512-463-0116', 'fax': None}]",,http://www.legdir.legis.state.tx.us/FlashCardDocs/images/Senate/small/A1150.jpg,[{'url': 'http://www.legdir.legis.state.tx.us/MemberInfo.aspx?Chamber=S&Code=A1150'}]
,57897,Dan,TXL000202,Patrick,,[],,http://www.legdir.legis.state.tx.us/FlashCardDocs/images/Senate/small/A1430.jpg,[{'url': 'http://www.senate.state.tx.us/75r/LtGov/Ltgov.htm'}]
,19595,Eliot,TXL000205,Shapleigh,,[],,http://www.legdir.legis.state.tx.us/FlashCardDocs/images/Senate/small/A1540.jpg,"[{'retrieved': '2010-12-03 19:00:19', 'url': 'http://www.legdir.legis.state.tx.us/MemberInfo.aspx?Chamber=S&Code=A1540'}]"
,61859,Robert,TXL000314,Miklos,,[],,http://www.legdir.legis.state.tx.us/FlashCardDocs/images/House/small/A3847.jpg,"[{'retrieved': '2010-12-03 19:03:58', 'url': 'http://www.legdir.legis.state.tx.us/MemberInfo.aspx?Chamber=H&Code=A3847'}]"
78,62850,Joe,TXL000317,Moody,,"[{'type': 'capitol', 'email': None, 'address': 'Room E2.214\nP.O. Box 2910\nAustin, TX 78768', 'name': 'Capitol Office', 'phone': '512-463-0728', 'fax': '512-463-0397'}, {'type': 'district', 'email': None, 'address': '5675 Woodrow Bean, Suite 12\nEl Paso, Texas 79924', 'name': 'District Office', 'phone': '915-751-2700', 'fax': '915-751-2702'}]",Democratic,http://www.house.state.tx.us/photos/members/3850.jpg,[{'url': 'http://www.house.state.tx.us/members/member-page/?district=78'}]
,21163,Pete,TXL000262,Gallego,,"[{'type': 'capitol', 'email': None, 'address': 'P.O. Box 2910\nAustin, TX 78768', 'name': 'Capitol address', 'phone': '(512) 463-0566', 'fax': None}, {'type': 'district', 'email': None, 'address': 'P.O. Box 777\nAlpine, TX 79831', 'name': 'District address', 'phone': '(432) 837-7383', 'fax': None}]",,http://www.legdir.legis.state.tx.us/FlashCardDocs/images/House/small/A2920.jpg,[{'url': 'http://www.legdir.legis.state.tx.us/MemberInfo.aspx?Chamber=H&Code=A2920'}]
,32395,Wayne,TXL000233,Christian,,"[{'type': 'capitol', 'email': None, 'address': 'P.O. Box 2910\nAustin, TX 78768', 'name': 'Capitol address', 'phone': '(512) 463-0556', 'fax': None}, {'type': 'district', 'email': None, 'address': '202 E. Pillar, Room 209\nNacogdoches, TX 75961', 'name': 'District address', 'phone': '(936) 560-3982', 'fax': None}]",,http://www.legdir.legis.state.tx.us/FlashCardDocs/images/House/small/A2525.jpg,[{'url': 'http://www.legdir.legis.state.tx.us/MemberInfo.aspx?Chamber=H&Code=A2525'}]
130,62344,Allen,TXL000258,Fletcher,,"[{'type': 'capitol', 'email': None, 'address': 'Room GW.4\nP.O. Box 2910\nAustin, TX 78768', 'name': 'Capitol Office', 'phone': '512-463-0661', 'fax': '512-463-4130'}, {'type': 'district', 'email': None, 'address': '25222 NW Frwy.\nBldg 9, Ste 199\nCypress, Texas  77429', 'name': 'District Office', 'phone': '281-373-5454', 'fax': '281-256-9213'}]",Republican,http://www.house.state.tx.us/photos/members/2830.jpg,[{'url': 'http://www.house.state.tx.us/members/member-page/?district=130'}]
,19725,Kip,TXL000182,Averitt,,[],,http://www.legdir.legis.state.tx.us/FlashCardDocs/images/Senate/small/A1060.jpg,"[{'retrieved': '2010-07-08 00:01:40', 'url': 'http://www.legdir.legis.state.tx.us/MemberInfo.aspx?Chamber=S&Code=A1060'}]"
23,20990,Royce,TXL000210,West,,"[{'type': 'capitol', 'email': None, 'address': 'P.O. Box 12068\nCapitol Station\nAustin, Texas 78711', 'name': 'Capitol Office', 'phone': '512-463-0123', 'fax': '512-463-0299'}, {'type': 'district', 'email': None, 'address': '5787 S. Hampton Rd., Suite 385\nDallas, Texas 75232', 'name': 'District Office', 'phone': '214-467-0123', 'fax': None}, {'type': 'district', 'email': None, 'address': '2612 Main Street, Suite 100\nDallas, Texas 75226', 'name': 'District Office', 'phone': '214-741-0123', 'fax': None}]",Democratic,http://www.legdir.legis.state.tx.us/FlashCardDocs/images/Senate/small/A1625.jpg,[{'url': 'http://www.senate.state.tx.us/75r/Senate/members/dist23/dist23.htm'}]
8,51766,Byron,TXL000236,Cook,,"[{'type': 'capitol', 'email': None, 'address': 'Room GN.11\nP.O. Box 2910\nAustin, TX 78768', 'name': 'Capitol Office', 'phone': '800-643-7026', 'fax': '512-463-2506'}, {'type': 'district', 'email': None, 'address': 'P.O. Box 1397\nCorsicana, TX 75151', 'name': 'District Office', 'phone': None, 'fax': None}]",Republican,http://www.house.state.tx.us/photos/members/2450.jpg,[{'url': 'http://www.house.state.tx.us/members/member-page/?district=8'}]
